CaseNumber,Make,Model,Year,LicenseState,Death,Speeding,SpeedLimit,RoadConditions,Violation
60192,Toyota,Prius *,2017,California,0,No,55,Dry,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
60193,KIA,Sorento,2003,California,0,No,65,Dry,None
60194,Chevrolet,"C, K, R, V-series pickup/Silverado",2017,California,0,No,40,Dry,None
60195,Ford,Medium/Heavy Van-Based Vehicle,2008,California,0,No,35,Wet,None
60196,Acura,TL,2006,California,0,No,40,Dry,None
60197,GMC,Fullsize Jimmy/Yukon,2004,California,0,No,40,Dry,None
60198,Chevrolet,"C, K, R, V-series pickup/Silverado",2002,California,0,No,25,Dry,None
60199,Chrysler,PT Cruiser,2003,California,0,No,40,Dry,None
60200,Toyota,Tacoma,2011,California,0,No,35,Dry,None
60201,Honda,"Civic/CRX, del Sol",2016,California,0,No,45,Wet,None
60202,Pontiac,Grand AM,1997,California,1,No,55,Dry,None
60202,Ford,F-Series pickup,2013,California,0,No,65,Dry,None
60203,Ford,F-Series pickup,2006,California,1,No,70,Dry,None
60204,Unknown Make,"Unknown (as to automobile, motored cycle, light truck or truck)",9999,Reported as Unknown,0,No,55,Dry,None
60205,Toyota,Camry,2015,California,0,No,65,Dry,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
60206,Ford,"Bronco (thru 1977)/Bronco II/Explorer/Explorer Sport (Explorer for 1990-2018 only.  For model years 2019 on, see 12-425.)",2000,California,1,No,70,Dry,None
60206,Mercedes-Benz,GLA Class,2019,California,0,No,70,Dry,None
60207,Chevrolet,G-series van,2005,California,0,No,65,Wet,None
